codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
87125,BRASIL,JUAZEIRO DO NORTE,CE,INCIDENTE,-39.26944444,-72.19166667,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87124,BRASIL,UBERLÂNDIA,MG,INCIDENTE,-48.22527778,-18.88361111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87123,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87122,BRASIL,SANTA MARIA,RS,INCIDENTE,-53.69222222,-29.71083333,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87121,BRASIL,SÃO JOSÉ DO RIO PRETO,SP,INCIDENTE,-49.40694444,-20.81722222,COLISÃO COM AVE
87118,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,COLISÃO COM AVE
87117,BRASIL,FORTALEZA,CE,INCIDENTE,-38.53222222,-37.75833333,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87116,BRASIL,GUARULHOS,SP,INCIDENTE,,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87115,BRASIL,MACEIÓ,AL,INCIDENTE,-35.79166667,,COLISÃO COM AVE
87114,BRASIL,GOIÂNIA,GO,INCIDENTE,-49.22111111,-16.63250000,OUTROS
87113,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.37000000,-22.98750000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87112,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.37000000,-22.98750000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87111,BRASIL,PARAUAPEBAS,PA,ACIDENTE,-50.91333333,-63.04444444,EXCURSÃO DE PISTA
87110,BRASIL,SÃO LUÍS,MA,INCIDENTE,-44.23611111,-25.86944444,PERDA DE CONTROLE NO SOLO
87109,BRASIL,SAPEZAL,MT,INCIDENTE,-58.91555556,-13.78222222,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87108,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87107,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,CONTATO ANORMAL COM A PISTA |
87106,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.25055556,-22.81000000,CONTATO ANORMAL COM A PISTA |
87105,BRASIL,MANAUS,AM,INCIDENTE,-60.05055556,-30.41111111,COLISÃO COM AVE
87104,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,COLISÃO COM AVE
87103,BRASIL,SERRA GRANDE,PB,ACIDENTE,-38.37666667,-72.56111111,COLISÃO COM AVE
87102,BRASIL,UBERABA,MG,INCIDENTE GRAVE,,,PERDA DE CONTROLE EM VOO
87100,BRASIL,ALTO ALEGRE,RR,INCIDENTE,-63.31666667,,INDETERMINADO
87099,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,COLISÃO COM AVE
87098,BRASIL,ARARAQUARA,SP,ACIDENTE,-48.13305556,-21.81194444,COLISÃO COM AVE
