codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
87125,BRASIL,JUAZEIRO DO NORTE,CE,INCIDENTE,-3926944444444,-7219166666666,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87124,BRASIL,UBERLÂNDIA,MG,INCIDENTE,-4822527777777,-1888361111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87123,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87122,BRASIL,SANTA MARIA,RS,INCIDENTE,-5369222222222,-2971083333333,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87121,BRASIL,SÃO JOSÉ DO RIO PRETO,SP,INCIDENTE,-4940694444444,-2081722222222,COLISÃO COM AVE
87118,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,COLISÃO COM AVE
87117,BRASIL,FORTALEZA,CE,INCIDENTE,-3853222222222,-3775833333333,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87116,BRASIL,GUARULHOS,SP,INCIDENTE,,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87115,BRASIL,MACEIÓ,AL,INCIDENTE,-3579166666666,-9510833333333,COLISÃO COM AVE
87114,BRASIL,GOIÂNIA,GO,INCIDENTE,-4922111111111,-166325,OUTROS
87113,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.37,-229875,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87112,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.37,-229875,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87111,BRASIL,PARAUAPEBAS,PA,ACIDENTE,-5091333333333,-6304444444444,EXCURSÃO DE PISTA
87110,BRASIL,SÃO LUÍS,MA,INCIDENTE,-4423611111111,-2586944444444,PERDA DE CONTROLE NO SOLO
87109,BRASIL,SAPEZAL,MT,INCIDENTE,-5891555555555,-1378222222222,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87108,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87107,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,CONTATO ANORMAL COM A PISTA |
87106,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,CONTATO ANORMAL COM A PISTA |
87105,BRASIL,MANAUS,AM,INCIDENTE,-6005055555555,-3041111111111,COLISÃO COM AVE
87104,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,COLISÃO COM AVE
87103,BRASIL,SERRA GRANDE,PB,ACIDENTE,-3837666666666,-7256111111111,COLISÃO COM AVE
87102,BRASIL,UBERABA,MG,INCIDENTE GRAVE,,,PERDA DE CONTROLE EM VOO
87100,BRASIL,ALTO ALEGRE,RR,INCIDENTE,-6331666666666,27833333333333,INDETERMINADO
87099,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,COLISÃO COM AVE
87098,BRASIL,ARARAQUARA,SP,ACIDENTE,-4813305555555,-2181194444444,COLISÃO COM AVE
87097,BRASIL,RIBEIRÃO PRETO,SP,INCIDENTE,-4777666666666,-2113638888888,INDETERMINADO
87096,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87095,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM AVE
87093,BRASIL,UBERLÂNDIA,MG,INCIDENTE,-4822527777777,-1888361111111,COLISÃO COM AVE
87092,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87091,BRASIL,SALVADOR,BA,INCIDENTE,-383225,-1290861111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87090,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-431625,-22.91,COLISÃO COM AVE
87089,BRASIL,IMPERATRIZ,MA,INCIDENTE,-4745833333333,-5530555555555,COLISÃO COM AVE
87088,BRASIL,MACAÉ,RJ,INCIDENTE,-4176388888888,-2234277777777,COLISÃO COM AVE
87087,BRASIL,CURITIBA,PR,INCIDENTE,-4917611111111,-2553166666666,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87086,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-431625,-22.91,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87085,BRASIL,RECIFE,PE,INCIDENTE,,,COLISÃO COM AVE
87084,BRASIL,GROSSOS,RN,ACIDENTE,-3721361111111,-4891944444444,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87082,BRASIL,ALTO PARAÍSO DE GOIÁS,GO,ACIDENTE,-4752222222222,-1438888888888,PERDA DE CONTROLE EM VOO
87081,BRASIL,CANTÁ,RR,INCIDENTE,-6059583333333,27872222222222,EXCURSÃO DE PISTA
