fk_Ocorrencia_codigo_ocorrencia;fk_Aeronave_aeronave_matricula;ocorrencia_dia;ocorrencia_hora
87125;PSAEX;11/05/2025;04:20:00
87124;PRYXD;08/05/2025;14:00:00
87123;PRXBT;09/05/2025;18:45:00
87122;PRAKJ;04/05/2025;14:45:00
87121;PRMHK;10/05/2025;10:00:00
87118;PRTQC;07/05/2025;11:15:00
87117;PRGTE;19/04/2025;15:45:00
87116;PRMYJ;05/05/2025;16:45:00
87115;PRVBG;25/04/2025;15:30:00
87114;N989AR;04/05/2025;18:30:00
87113;PTKFW;18/04/2025;16:00:00
87112;PSCNC;05/05/2025;23:45:00
87111;PRVJM;05/05/2025;20:30:00
87110;PTWOS;05/05/2025;19:55:00
87109;PSGNI;05/04/2025;15:30:00
87108;PRTYT;25/03/2025;11:45:00
87107;PTMUI;29/03/2025;12:00:00
87106;PTXPN;05/05/2025;14:00:00
87105;PSGRA;02/05/2025;16:37:00
87104;PSLBM;27/04/2025;19:41:00
87103;PUTDP;03/05/2025;11:50:00
87102;PRGUI;11/04/2025;18:45:00
87102;PSTEO;01/05/2025;19:30:00
87100;PRKLI;23/04/2025;11:51:00
87099;PRGYD;26/04/2025;19:15:00
87098;MXLII - FL;29/04/2025;20:33:00
87097;PRWBF;02/05/2025;14:30:00
87096;PTMXH;02/05/2025;13:00:00
87095;PTMXC;24/04/2025;19:30:00
87093;PRATV;27/04/2025;16:15:00
87092;PSGPB;23/04/2025;16:05:00
87091;PRGXD;03/05/2025;19:00:00
87090;PRGUN;19/07/2024;22:45:00
87089;PRMYJ;30/04/2025;13:35:00
87088;PREAE;27/04/2025;20:45:00
87087;PRAKJ;21/07/2024;09:15:00
87086;PRGOQ;25/04/2025;02:30:00
87085;PRYRR;21/04/2025;19:30:00
87084;PUHGM;29/04/2025;11:30:00
87082;PTWTC;26/04/2025;16:15:00
87081;PRNYA;27/04/2025;00:00:00
87080;PSSLH;13/04/2025;20:00:00
87079;PTRBC;29/04/2025;19:30:00
87078;PUTOP;17/04/2025;00:15:00
87077;PRXMN;24/04/2025;16:30:00
87076;PTMXC;25/04/2025;18:00:00
87075;PRJAW;25/04/2025;15:30:00
87073;PRWBF;25/04/2025;13:15:00
87072;PRCHS;06/03/2025;15:30:00
87071;PSGBP;24/04/2025;18:55:00
87069;PRXMW;23/04/2025;19:00:00
87067;PSLBD;24/04/2025;09:32:00
87066;PRMYR;20/04/2025;11:40:00
87065;PRYRD;20/04/2025;11:30:00
87064;PSSEN;06/04/2025;22:45:00
87063;PSBAS;18/03/2025;21:30:00
87062;PRYSF;16/04/2025;15:20:00
87061;PTIVN;29/04/2025;18:30:00
87060;PRZBQ;28/04/2025;14:55:00
87059;PSJBP;17/04/2025;11:45:00
87058;PPMSR;19/04/2025;11:30:00
87057;PRPRM;11/04/2025;09:00:00
87056;PRTXE;21/04/2025;18:50:00
87056;PTVTR;22/04/2025;12:00:00
87054;PSAEV;17/04/2025;20:06:00
87053;PSLIM;19/04/2025;04:30:00
87052;PRTKI;19/04/2025;13:24:00
87051;PRYYH;20/04/2025;18:30:00
87050;PSSBB;20/04/2025;10:15:00
87049;PRCFX;16/04/2025;00:15:00
87048;PRTYQ;02/04/2025;22:03:00
87047;PRMYM;13/04/2025;12:15:00
87046;PPJFF;14/04/2025;21:15:00
87045;C-FEGI;16/04/2025;19:30:00
87043;PSRRG;08/04/2025;20:30:00
87042;PRXGT;20/03/2025;14:00:00
87039;PRLSO;14/04/2025;10:45:00
87038;PTJLK;12/04/2025;21:15:00
87037;PTWMK;11/04/2025;18:30:00
87036;PPDPD;13/04/2025;17:30:00
87035;PRAXX;13/04/2025;13:30:00
87034;PRYRA;12/04/2025;16:30:00
87033;PPPAF;14/04/2025;19:30:00
87032;PRCHS;09/04/2025;02:40:00
87031;PRXMG;12/04/2025;10:09:00
87030;PRAUE;11/04/2025;11:30:00
87029;PRGXU;09/04/2025;23:15:00
87027;PRMHP;08/04/2025;03:00:00
87026;PRXBH;04/04/2025;09:45:00
87025;PRYRS;08/04/2025;20:45:00
87024;PRMAK;13/04/2025;11:00:00
87023;PRAXH;05/04/2025;17:30:00
87022;PRABK;06/04/2025;04:30:00
87021;PTRDD;31/03/2025;18:00:00
87020;PRTKK;03/02/2025;10:00:00
87019;PRMBU;23/10/2024;17:19:00
87018;PRTKK;02/01/2024;13:45:00
87017;PRMYH;23/10/2024;13:00:00
87016;PRGTV;10/04/2025;19:45:00
87013;PRAKN;09/03/2025;15:45:00
87010;PPFUL;10/04/2025;17:30:00
87009;PROTS;02/08/2024;15:15:00
87008;PROHX;02/08/2024;13:00:00
87007;PRAXU;10/04/2025;11:30:00
87006;PRYYJ;09/04/2025;14:30:00
87004;PRZLB;27/11/2024;16:45:00
87003;PTWVL;12/11/2024;12:15:00
87001;PSGPN;23/10/2024;12:15:00
87000;PRYRT;16/10/2024;10:19:00
86999;PSGRG;14/10/2024;18:45:00
86998;PRYYH;08/10/2024;01:00:00
86997;PRATV;12/01/2025;18:45:00
86996;PRAXP;06/04/2025;22:00:00
86995;PRAXO;05/04/2025;20:00:00
86994;PRYRH;04/04/2025;21:30:00
86993;PRGXX;21/01/2025;06:00:00
86991;PRAXL;07/01/2025;15:45:00
86990;N178DZ;09/04/2025;01:30:00
86989;PRGTH;05/04/2025;14:45:00
86988;PSAJG;11/12/2024;20:21:00
86987;PUFAI;18/12/2024;12:10:00
86986;PSLBK;01/04/2025;12:00:00
86985;PSLBC;07/04/2025;11:00:00
86984;PTVUR;28/02/2025;13:00:00
86983;PRCPX;03/04/2025;16:15:00
86981;PRYSH;03/04/2025;16:15:00
86980;PTMXB;05/04/2025;10:15:00
86979;PRMHW;03/04/2025;11:30:00
86978;PRXMU;04/04/2025;16:45:00
86977;PRYSR;02/04/2025;05:45:00
86976;PRSDH;23/03/2025;22:27:00
86975;F-GSQE;19/03/2025;19:23:00
86974;PRGTC;17/03/2025;13:30:00
86973;PRGUU;11/03/2025;04:00:00
86972;PSLBM;24/02/2025;18:00:00
86971;PRSDL;22/02/2025;11:45:00
86969;PRAXL;13/02/2025;14:30:00
86968;PRVBL;28/01/2025;17:45:00
86967;PRAQL;22/01/2025;22:33:00
86966;PRGGQ;20/01/2025;17:30:00
86965;PSAEJ;27/12/2024;13:15:00
86964;PRXMX;09/01/2025;12:26:00
86962;PRAQN;07/12/2024;18:00:00
86960;PRXMU;06/04/2025;04:30:00
86959;PRMYM;04/04/2025;18:15:00
86958;PSBDF;04/04/2025;17:20:00
86956;PUVPR;04/04/2025;09:05:00
86954;PTOCO;03/04/2025;20:45:00
86953;PTUYQ;31/03/2025;22:30:00
86952;PTZPH;05/04/2025;11:00:00
86951;PRMYM;06/04/2025;12:30:00
86950;PRXMV;03/04/2025;17:00:00
86949;PSADB;04/04/2025;16:45:00
86948;PRBGB;03/04/2025;07:30:00
86946;PTVHE;11/03/2025;21:30:00
86945;PRSDM;02/04/2025;16:50:00
86941;PSMSA;30/03/2025;13:30:00
86940;PSIBF;02/04/2025;12:00:00
86939;PROHZ;01/04/2025;14:15:00
86938;PSAEE;31/03/2025;16:15:00
86937;PRTKK;01/04/2025;07:45:00
86936;PRAKO;29/03/2025;20:30:00
86935;PRSLU;29/03/2025;13:15:00
86934;PRAXO;19/03/2025;18:00:00
86933;PRGTE;19/03/2025;06:45:00
86931;PRAUQ;11/03/2025;22:30:00
86929;PRSDV;29/11/2024;00:15:00
86928;PRYRQ;22/02/2025;18:00:00
86925;PRDNP;03/04/2025;17:30:00
86924;PRMYM;28/03/2025;12:45:00
86923;PPAIJ;02/04/2025;21:00:00
86922;PRTQB;02/04/2025;15:45:00
86921;PSAEE;31/03/2025;13:30:00
86920;PTXPI;02/04/2025;11:30:00
86918;PTVKB;31/03/2025;21:00:00
86917;PPPSO;11/03/2025;11:45:00
86916;PRXMH;16/03/2025;17:15:00
86916;PTLSH;28/03/2025;19:35:00
86914;PRAXU;21/03/2025;20:00:00
86913;PRVBL;01/04/2025;15:00:00
86912;PREPE;31/03/2025;13:03:00
86911;PRRUY;24/02/2025;22:00:00
86910;PRUTA;31/03/2025;12:30:00
86909;PTWRU;28/03/2025;19:30:00
86908;PRSLU;19/02/2025;14:30:00
86907;PRGUC;30/03/2025;00:15:00
