fk_Fator_contribuinte_fator_nome,fk_Ocorrencia_codigo_ocorrencia
APLICAÇÃO DE COMANDOS,87125
ATITUDE,87124
CONDIÇÕES METEOROLÓGICAS ADVERSAS,87123
PERCEPÇÃO,87122
PROCESSO DECISÓRIO,87121
OUTRO FATOR,87118
ATITUDE,87117
JULGAMENTO DE PILOTAGEM,87116
MOTIVAÇÃO,87115
PLANEJAMENTO DE VOO,87114
APLICAÇÃO DE COMANDOS,87113
CONDIÇÕES METEOROLÓGICAS ADVERSAS,87112
JULGAMENTO DE PILOTAGEM,87111
CONDIÇÕES METEOROLÓGICAS ADVERSAS,87110
PERCEPÇÃO,87109
PROCESSO DECISÓRIO,87108
APLICAÇÃO DE COMANDOS,87107
INFRAESTRUTURA AEROPORTUÁRIA,87106
PERCEPÇÃO,87105
POUCA EXPERIÊNCIA DO PILOTO,87104
APLICAÇÃO DE COMANDOS,87103
ATITUDE,87102
JULGAMENTO DE PILOTAGEM,87100
PROCESSO DECISÓRIO,87099
ATENÇÃO,87098
ATITUDE,87097
JULGAMENTO DE PILOTAGEM,87096
PERCEPÇÃO,87095
POUCA EXPERIÊNCIA DO PILOTO,87093
INFRAESTRUTURA AEROPORTUÁRIA,87092
JULGAMENTO DE PILOTAGEM,87091
PROCESSO DECISÓRIO,87090
SUPERVISÃO GERENCIAL,87089
ATENÇÃO,87088
JULGAMENTO DE PILOTAGEM,87087
PERCEPÇÃO,87086
PLANEJAMENTO DE VOO,87085
ATENÇÃO,87084
ATITUDE,87082
PERCEPÇÃO,87081
APLICAÇÃO DE COMANDOS,87080
ATITUDE,87079
ILUSÕES VISUAIS,87078
JULGAMENTO DE PILOTAGEM,87077
PERCEPÇÃO,87076
PLANEJAMENTO DE VOO,87075
PROCESSO DECISÓRIO,87073
APLICAÇÃO DE COMANDOS,87072
ATITUDE,87071
POUCA EXPERIÊNCIA DO PILOTO,87069
APLICAÇÃO DE COMANDOS,87067
ATITUDE,87066
JULGAMENTO DE PILOTAGEM,87065
POUCA EXPERIÊNCIA DO PILOTO,87064
PROCESSO DECISÓRIO,87063
APLICAÇÃO DE COMANDOS,87062
ATITUDE,87061
JULGAMENTO DE PILOTAGEM,87060
MANUTENÇÃO DA AERONAVE,87059
ATENÇÃO,87058
JULGAMENTO DE PILOTAGEM,87057
PERCEPÇÃO,87056
PLANEJAMENTO DE VOO,87054
PROCESSO DECISÓRIO,87053
MANUTENÇÃO DA AERONAVE,87052
INSTRUÇÃO,87051
MANUTENÇÃO DA AERONAVE,87050
POUCA EXPERIÊNCIA DO PILOTO,87049
PROCESSO DECISÓRIO,87048
ATITUDE,87047
CULTURA DO GRUPO DE TRABALHO,87046
MEMÓRIA,87045
PLANEJAMENTO DE VOO,87043
SISTEMAS DE APOIO,87042
SUPERVISÃO GERENCIAL,87039
APLICAÇÃO DE COMANDOS,87038
CONDIÇÕES METEOROLÓGICAS ADVERSAS,87037
JULGAMENTO DE PILOTAGEM,87036
PLANEJAMENTO DE VOO,87035
ATITUDE,87034
MOTIVAÇÃO,87033
PLANEJAMENTO DE VOO,87032
POUCA EXPERIÊNCIA DO PILOTO,87031
